"Issue Type","Epic Name","Summary","Description","Acceptance Criteria","Priority","Story Points","Epic Link","Labels"
"Epic","ONB — Onboarding & Réglages","ONB — Onboarding & Réglages","Onboarding initial, préférences de langue/direction, polices, TTS, packs hors-ligne.","","High","","","onboarding,i18n,settings"
"Epic","ROU — Gestion des Routines & Thèmes","ROU — Gestion des Routines & Thèmes","Thèmes, routines, catégories, répétitions par défaut, DnD et modèles.","","High","","","routines,themes"
"Epic","LIB — Bibliothèque & Contenu","LIB — Bibliothèque & Contenu","Navigateur Coran, invocations, notes, téléchargements hors-ligne.","","High","","","library,content"
"Epic","READ — Lecteur Bilingue & Synchronisation","READ — Lecteur Bilingue & Synchronisation","Lecture AR/FR, surlignage synchronisé audio-texte, zoom, plein écran.","","High","","","reader,audio,tts"
"Epic","CNT — Compteur Intelligent & Mains Libres","CNT — Compteur Intelligent & Mains Libres","Compteur persistant, auto-avance, mode mains libres et contrôles.","","Highest","","","counter,handsfree"
"Epic","PRS — Persistance & Reprise","PRS — Persistance & Reprise","Snapshots incrémentaux, reprise exacte après interruption, restauration atomique.","","Highest","","","persistence,resume"
"Epic","OFF — Offline & Sync","OFF — Offline & Sync","Mode hors-ligne complet, synchronisation Supabase, cache TTS.","","Highest","","","offline,sync"
"Epic","NOT — Notifications & Rappels","NOT — Notifications & Rappels","Rappels selon fréquence, deep-links de reprise, sync serveur optionnelle.","","Medium","","","notifications,reminders"
"Epic","AI — IA Suggestions & Génération","AI — IA Suggestions & Génération","Suggestions personnalisées, génération contenu, traduction/translittération, insights.","","Medium","","","ai"
"Epic","A11Y — Accessibilité & RTL","A11Y — Accessibilité & RTL","Contrastes/tailles, lecteur d’écran, RTL impeccable.","","High","","","accessibility,rtl"
"Epic","SEC — Sécurité & Vie Privée","SEC — Sécurité & Vie Privée","Chiffrement, secure storage, analytics opt-in, export/import chiffré.","","High","","","security,privacy"
"Epic","OBS — Analytics, Logs, Sentry","OBS — Analytics, Logs, Sentry","Événements clés, funnels, crash reporting et perf traces.","","Medium","","","observability,analytics,sentry"
"Epic","PERF — Performance & Fiabilité","PERF — Performance & Fiabilité","Démarrage rapide, faible jank, mémoire/bundle optimisés, audio focus.","","High","","","performance,reliability"
"Epic","DSN — Design System & Composants","DSN — Design System & Composants","Thèmes clair/sombre, palette, typo, composants et tests visuels.","","High","","","design,components"
"Story","","ONB-1 — Onboarding FR/AR + RTL/LTR","Sélection langue, direction, thème et polices lors du premier lancement.","Given premier lancement, When j’ouvre l’app, Then je choisis FR/AR et RTL/LTR\nGiven choix langue, Then toute l’app respecte la direction\nGiven a11y, Then les tailles de texte sont ajustables","High","5","ONB — Onboarding & Réglages","a11y,i18n"
"Story","","ONB-2 — Choix polices AR/FR et tailles","Choisir polices arabes et latines, ajuster tailles dynamiquement.","Given réglages, When je change police ou taille, Then toutes les vues s’adaptent sans redémarrer","High","3","ONB — Onboarding & Réglages","typography"
"Story","","ONB-3 — Paramètres TTS (voix, vitesse, test)","Configuration voix TTS, vitesse, préécoute et mémorisation.","Given voix disponible, When je teste, Then un échantillon joue et la sélection est mémorisée","High","5","ONB — Onboarding & Réglages","tts"
"Story","","ONB-4 — Packs hors-ligne (corpus AR/FR)","Téléchargement de packs hors-ligne (texte, traductions, translit).","Given pack téléchargé, Then l’app fonctionne sans réseau (lecture, navigation, TTS en cache)","High","8","ONB — Onboarding & Réglages","offline"
"Story","","ROU-1 — CRUD Thèmes avec fréquence","Créer, modifier, supprimer des thèmes avec fréquence (quotidienne/hebdo/mensuelle).","Given thème, When je définis une fréquence, Then elle s’affiche et filtre la liste","High","5","ROU — Gestion des Routines & Thèmes","themes"
"Story","","ROU-2 — CRUD Routines + réorganisation DnD","Créer/éditer/supprimer routines par thème; réorganiser tâches par glisser-déposer.","Given routine, When je DnD, Then l’ordre persiste\nGiven routine, When je duplique, Then une copie exacte est créée","High","8","ROU — Gestion des Routines & Thèmes","routines,dnd"
"Story","","ROU-3 — Éditeur de tâches (Sourate/Versets/Mix/Texte)","Édition par blocs avec validation des références et sauvegarde auto.","Given références, When j’ajoute un bloc, Then la validation empêche les entrées invalides\nAuto-save sur modification","High","13","ROU — Gestion des Routines & Thèmes","editor,validation"
"Story","","ROU-4 — Répétitions par défaut par tâche","Paramétrage de répétitions par défaut appliqué à chaque lancement.","Given valeurs par défaut, When je lance la routine, Then le compteur s’initialise\nWhen je change, Then l’app mémorise pour futures sessions","High","5","ROU — Gestion des Routines & Thèmes","defaults"
"Story","","ROU-5 — Catégories et filtres","Catégoriser les tâches et filtrer l’affichage.","Given catégories, When je filtre, Then seules les correspondantes s’affichent","Medium","5","ROU — Gestion des Routines & Thèmes","categories,filter"
"Story","","LIB-1 — Navigateur Coran multi-sélection","Sélection de sourates et plages de versets, multi-sélection.","Given sélection 2:255 et 2:1-5, Then l’éditeur les ajoute correctement","High","8","LIB — Bibliothèque & Contenu","quran,browser"
"Story","","LIB-2 — Invocations préchargées + notes","Catalogue d’invocations, ajout de notes personnelles, recherche.","Given recherche, When je tape un mot-clé, Then résultats filtrés par catégorie","Medium","5","LIB — Bibliothèque & Contenu","duas,notes"
"Story","","LIB-3 — Téléchargements hors-ligne par lot","File d’attente, reprise, ETag, quotas stockage.","Given coupure réseau, When reprise, Then le lot continue sans perte","High","8","LIB — Bibliothèque & Contenu","downloads,offline"
"Story","","READ-1 — Lecture AR/FR + zoom/plein écran","Affichage côte-à-côte/alterné, zoom pincement, mode plein écran persistant.","Given switch, Then AR/FR s’affichent selon le mode\nGiven pinch, Then zoom fluide\nGiven plein écran, Then état mémorisé","High","8","READ — Lecteur Bilingue & Synchronisation","reader,ui"
"Story","","READ-2 — Surlignage synchronisé audio-texte","Surlignage du mot/verset en cours synchronisé avec l’audio, correction de drift.","Given lecture, Then le mot courant est surligné\nIf drift>100ms, Then correction périodique\nIf pas de speech marks, Then fallback heuristique","High","13","READ — Lecteur Bilingue & Synchronisation","sync,highlight"
"Story","","READ-3 — Barre audio (lecture, vitesse, scrubbing)","Contrôle play/pause, vitesse 0.5–2.0x, scrubbing avec mise à jour du surlignage.","Given scrubbing, Then le surlignage suit la nouvelle position","High","5","READ — Lecteur Bilingue & Synchronisation","audio,controls"
